"conversion_date","source_currency_key","destination_currency_key","source_destination_exchgrate","destination_source_exchgrate","source_destination_month_avg","destination_source_month_avg","source_destination_year_avg","destination_source_year_avg","exchgrates_source"
2019-12-02,26,72,1.1023,,,,,,BCE api
2019-12-03,26,72,1.1071,,,,,,BCE api
2019-12-05,26,72,1.1094,,,,,,BCE api
2019-12-06,26,72,1.1094,,,,,,BCE api
2019-12-09,26,72,1.1075,,,,,,BCE api
2019-12-10,26,72,1.1077,,,,,,BCE api
2019-12-11,26,72,1.1075,,,,,,BCE api
2019-12-12,26,72,1.1137,,,,,,BCE api
2019-12-13,26,72,1.1174,,,,,,BCE api
2019-12-16,26,72,1.1146,,,,,,BCE api
2019-12-17,26,72,1.1162,,,,,,BCE api
2019-12-18,26,72,1.1115,,,,,,BCE api
2019-12-19,26,72,1.1117,,,,,,BCE api
2019-12-20,26,72,1.1097,,,,,,BCE api
2019-12-23,26,72,1.1075,,,,,,BCE api
2019-12-24,26,72,1.108,,,,,,BCE api
2019-12-27,26,72,1.1153,,,,,,BCE api
2019-12-30,26,72,1.1189,,,,,,BCE api
2019-12-31,26,72,1.1234,,,,,,BCE api
2020-01-02,26,72,1.1193,,,,,,BCE api
2020-01-03,26,72,1.1147,,,,,,BCE api
2020-01-06,26,72,1.1194,,,,,,BCE api
2020-01-07,26,72,1.1172,,,,,,BCE api
2020-01-08,26,72,1.1115,,,,,,BCE api
2020-01-10,26,72,1.1091,,,,,,BCE api
2020-01-13,26,72,1.1126,,,,,,BCE api
2020-01-14,26,72,1.1115,,,,,,BCE api
2020-01-16,26,72,1.1169,,,,,,BCE api
2020-01-17,26,72,1.1108,,,,,,BCE api
2020-01-20,26,72,1.1085,,,,,,BCE api
2020-01-22,26,72,1.1088,,,,,,BCE api
2020-01-23,26,72,1.1091,,,,,,BCE api
2020-01-24,26,72,1.1035,,,,,,BCE api
2020-01-27,26,72,1.1025,,,,,,BCE api
2020-01-28,26,72,1.1005,,,,,,BCE api
2020-01-30,26,72,1.1029,,,,,,BCE api
2020-01-31,26,72,1.1052,,,,,,BCE api
2019-12-02,26,28,0.85218,,,,,,BCE api
2019-12-03,26,28,0.852,,,,,,BCE api
2019-12-05,26,28,0.8447,,,,,,BCE api
2019-12-06,26,28,0.84453,,,,,,BCE api
2019-12-09,26,28,0.84195,,,,,,BCE api
2019-12-10,26,28,0.84073,,,,,,BCE api
2019-12-11,26,28,0.84245,,,,,,BCE api
2019-12-12,26,28,0.8456,,,,,,BCE api
2019-12-13,26,28,0.83508,,,,,,BCE api
2019-12-16,26,28,0.83415,,,,,,BCE api
2019-12-17,26,28,0.84748,,,,,,BCE api
2019-12-18,26,28,0.85055,,,,,,BCE api
2019-12-19,26,28,0.85073,,,,,,BCE api
2019-12-20,26,28,0.85133,,,,,,BCE api
2019-12-23,26,28,0.85708,,,,,,BCE api
2019-12-24,26,28,0.85533,,,,,,BCE api
2019-12-27,26,28,0.8513,,,,,,BCE api
2019-12-30,26,28,0.85208,,,,,,BCE api
2019-12-31,26,28,0.8508,,,,,,BCE api
2020-01-01,26,28,0.8547,,,,,,BCE api
2020-01-02,26,28,0.84828,,,,,,BCE api
2020-01-03,26,28,0.85115,,,,,,BCE api
2020-01-06,26,28,0.85215,,,,,,BCE api
2020-01-07,26,28,0.85183,,,,,,BCE api
2020-01-08,26,28,0.84868,,,,,,BCE api
2020-01-10,26,28,0.8481,,,,,,BCE api
2020-01-13,26,28,0.8576,,,,,,BCE api
2020-01-14,26,28,0.85618,,,,,,BCE api
2020-01-16,26,28,0.8547,,,,,,BCE api
2020-01-17,26,28,0.85105,,,,,,BCE api
2020-01-20,26,28,0.85275,,,,,,BCE api
2020-01-22,26,28,0.84445,,,,,,BCE api
2020-01-23,26,28,0.84498,,,,,,BCE api
2020-01-24,26,28,0.84313,,,,,,BCE api
2020-01-27,26,28,0.84358,,,,,,BCE api
2020-01-28,26,28,0.84603,,,,,,BCE api
2020-01-30,26,28,0.84183,,,,,,BCE api
2020-01-31,26,28,0.84175,,,,,,BCE api
