ID,USERID,TYPE,REGISTRATIONDATE,DOMAIN,STATUS,NEXTDUEDATE
105362,81476,Register,17/10/2017 00:00:00,,Active,17/10/2019 00:00:00
105363,87400,Register,18/10/2017 00:00:00,,Active,18/10/2019 00:00:00
105364,87402,Register,18/10/2017 00:00:00,,Active,18/10/2019 00:00:00
105365,87403,Register,18/10/2017 00:00:00,,Active,18/10/2019 00:00:00
105366,72323,Register,18/10/2017 00:00:00,,Active,18/10/2019 00:00:00
105368,87388,Register,18/10/2017 00:00:00,,Active,18/10/2019 00:00:00
105370,87405,Transfer,18/10/2017 00:00:00,,Active,03/10/2019 00:00:00
105385,87405,Transfer,18/10/2017 00:00:00,,Active,21/10/2019 00:00:00
105386,84884,Register,18/10/2017 00:00:00,,Active,18/10/2019 00:00:00
105387,86948,Register,18/10/2017 00:00:00,,Active,18/10/2019 00:00:00
105388,81383,Register,18/10/2017 00:00:00,,Active,18/10/2019 00:00:00
105389,81383,Register,18/10/2017 00:00:00,,Active,18/10/2019 00:00:00
105390,87409,Register,18/10/2017 00:00:00,,Active,18/10/2019 00:00:00
105391,87410,Register,18/10/2017 00:00:00,,Active,18/10/2019 00:00:00
105392,87412,Register,18/10/2017 00:00:00,,Active,18/10/2019 00:00:00
105394,87413,Register,18/10/2017 00:00:00,,Active,18/10/2019 00:00:00
105397,71446,Register,18/10/2017 00:00:00,,Active,18/10/2019 00:00:00
105399,71569,Register,18/10/2017 00:00:00,,Active,18/10/2019 00:00:00
105401,87415,Register,19/10/2017 00:00:00,,Active,19/10/2019 00:00:00
105402,87415,Register,19/10/2017 00:00:00,,Active,19/10/2019 00:00:00
105403,87415,Register,19/10/2017 00:00:00,,Active,19/10/2019 00:00:00
105404,87415,Register,19/10/2017 00:00:00,,Active,19/10/2019 00:00:00
105405,87415,Register,19/10/2017 00:00:00,,Active,19/10/2019 00:00:00
105406,87415,Register,19/10/2017 00:00:00,,Active,19/10/2019 00:00:00
105407,87415,Register,19/10/2017 00:00:00,,Active,19/10/2019 00:00:00
105408,87415,Register,19/10/2017 00:00:00,,Active,19/10/2019 00:00:00
105409,87415,Register,19/10/2017 00:00:00,,Active,19/10/2019 00:00:00
105410,87415,Register,19/10/2017 00:00:00,,Active,19/10/2019 00:00:00
105411,87415,Register,19/10/2017 00:00:00,,Active,19/10/2019 00:00:00
105412,87415,Register,19/10/2017 00:00:00,,Active,19/10/2019 00:00:00
105416,87418,Register,19/10/2017 00:00:00,,Active,19/10/2019 00:00:00
