ID,USERID,PACKAGEID,REGDATE,DOMAIN,DOMAINSTATUS,NEXTDUEDATE
575176,91233,83,18/10/2018 00:00:00,,Active,18/10/2019 00:00:00
575177,91234,153,18/10/2018 00:00:00,,Active,18/10/2019 00:00:00
575178,91236,153,18/10/2018 00:00:00,,Active,18/10/2019 00:00:00
575179,91239,82,18/10/2018 00:00:00,,Cancelled,18/10/2019 00:00:00
575181,88508,153,18/10/2018 00:00:00,,Active,18/10/2019 00:00:00
575184,91255,153,19/10/2018 00:00:00,,Active,19/10/2019 00:00:00
575185,86690,168,19/10/2018 00:00:00,,Cancelled,19/10/2019 00:00:00
575186,57847,31,19/10/2018 00:00:00,,Active,22/10/2019 00:00:00
575188,80195,31,20/10/2018 00:00:00,,Cancelled,20/10/2019 00:00:00
575189,91261,168,20/10/2018 00:00:00,,Active,20/10/2019 00:00:00
575191,80195,31,20/10/2018 00:00:00,,Active,22/10/2019 00:00:00
575193,87899,83,21/10/2018 00:00:00,,Cancelled,21/10/2019 00:00:00
575194,91192,83,21/10/2018 00:00:00,,Active,21/10/2019 00:00:00
575195,91267,82,21/10/2018 00:00:00,,Active,21/10/2019 00:00:00
575199,91270,83,22/10/2018 00:00:00,,Active,22/10/2019 00:00:00
575201,91271,154,22/10/2018 00:00:00,,Active,22/10/2019 00:00:00
575202,91273,104,22/10/2018 00:00:00,,Active,22/10/2019 00:00:00
575203,91274,83,22/10/2018 00:00:00,,Active,22/10/2019 00:00:00
575204,91222,82,22/10/2018 00:00:00,,Active,22/10/2019 00:00:00
575205,76595,83,22/10/2018 00:00:00,,Active,22/10/2019 00:00:00
575208,74116,82,22/10/2018 00:00:00,,Active,22/10/2019 00:00:00
575209,65219,31,22/10/2018 00:00:00,,Active,22/10/2019 00:00:00
575210,78824,154,22/10/2018 00:00:00,,Active,22/10/2019 00:00:00
575212,91280,168,22/10/2018 00:00:00,,Active,22/10/2019 00:00:00
575213,91203,168,22/10/2018 00:00:00,,Active,22/10/2019 00:00:00
575214,61509,40,23/10/2018 00:00:00,,Active,23/10/2019 00:00:00
575215,91283,83,23/10/2018 00:00:00,,Active,23/10/2019 00:00:00
575216,91288,82,24/10/2018 00:00:00,,Active,24/10/2019 00:00:00
575217,91288,40,24/10/2018 00:00:00,,Active,24/10/2019 00:00:00
575218,91289,153,24/10/2018 00:00:00,,Active,24/10/2019 00:00:00
575219,58068,82,24/10/2018 00:00:00,,Active,24/10/2019 00:00:00
575220,91291,82,24/10/2018 00:00:00,,Active,24/10/2019 00:00:00
575221,91292,168,24/10/2018 00:00:00,,Active,24/10/2019 00:00:00
575222,72763,83,24/10/2018 00:00:00,,Active,24/10/2019 00:00:00
575223,65927,153,24/10/2018 00:00:00,,Active,24/10/2019 00:00:00
575225,91295,153,24/10/2018 00:00:00,,Active,24/10/2019 00:00:00
575226,91296,104,24/10/2018 00:00:00,,Active,24/10/2019 00:00:00
575229,84961,21,25/10/2018 00:00:00,,Active,25/10/2019 00:00:00
575230,85219,153,25/10/2018 00:00:00,,Active,25/10/2019 00:00:00
575233,91314,103,26/10/2018 00:00:00,,Active,26/10/2019 00:00:00
575234,86230,153,26/10/2018 00:00:00,,Active,26/10/2019 00:00:00
575235,78046,154,26/10/2018 00:00:00,,Active,26/10/2019 00:00:00
575237,91319,82,27/10/2018 00:00:00,,Active,27/10/2019 00:00:00
575238,91320,82,27/10/2018 00:00:00,,Active,27/10/2019 00:00:00
575239,91322,82,27/10/2018 00:00:00,,Active,27/10/2019 00:00:00
575242,91327,153,28/10/2018 00:00:00,,Active,28/10/2019 00:00:00
575245,91330,168,28/10/2018 00:00:00,,Active,28/10/2019 00:00:00
576762,93341,153,18/04/2019 00:00:00,,Active,18/10/2019 00:00:00
576763,93528,168,18/04/2019 00:00:00,,Active,18/10/2019 00:00:00
576766,93597,82,18/04/2019 00:00:00,,Active,18/10/2019 00:00:00
576767,93598,104,18/04/2019 00:00:00,,Active,18/10/2019 00:00:00
576772,80649,153,20/04/2019 00:00:00,,Active,20/10/2019 00:00:00
576774,93613,104,20/04/2019 00:00:00,,Active,20/10/2019 00:00:00
576777,93616,83,20/04/2019 00:00:00,,Active,20/10/2019 00:00:00
576784,93624,104,22/04/2019 00:00:00,,Active,22/10/2019 00:00:00
576785,76287,153,22/04/2019 00:00:00,,Active,22/10/2019 00:00:00
576796,67656,165,24/04/2019 00:00:00,,Active,24/10/2019 00:00:00
576799,93644,83,24/04/2019 00:00:00,,Active,24/10/2019 00:00:00
576826,90160,82,26/04/2019 00:00:00,,Active,26/10/2019 00:00:00
576860,79198,82,30/04/2019 00:00:00,,Active,30/10/2019 00:00:00
573675,65859,82,30/03/2018 00:00:00,,Active,02/10/2019 00:00:00
