INVOICEID,USERID,TYPE,RELID,DESCRIPTION,AMOUNT,DUEDATE,INVOICE_LABEL
1160990,87045,Hosting,573492,Cloud Lite Plus,6.54,09/11/2018 00:00:00,
1160910,70546,Hosting,562441,Level 1 Dedicated Server,2.02,01/11/2018 00:00:00,
1160911,57897,Hosting,560889,Cloud Lite Plus,4.59,02/11/2018 00:00:00,
1160993,83222,Hosting,570267,Wordpress Developer,59.99,09/11/2018 00:00:00,
1161014,62201,Domain,30939,Domain Renewal,24.95,09/11/2018 00:00:00,
1160980,90187,Hosting,574427,Cloud Lite Plus,4.59,09/11/2018 00:00:00,
1159961,60610,Hosting,573971,Cloud VPS Option 2 PCS,9.54,03/11/2018 00:00:00,
1159964,66566,Hosting,556344,Cloud Lite Plus,4.59,03/11/2018 00:00:00,
1159966,66384,Hosting,556186,Level 1 Dedicated Server,1.25,03/11/2018 00:00:00,
1159969,89287,Hosting,573710,Website Builder,9.95,03/11/2018 00:00:00,
1160016,91082,DomainRegister,114983,Domain Registration,9.95,04/10/2018 00:00:00,
1160016,91082,DomainRegister,114982,Domain Registration,14.95,04/10/2018 00:00:00,
1160017,90796,DomainRegister,114984,Domain Registration,1.49,04/10/2018 00:00:00,
1160023,71832,DomainRegister,114986,Domain Registration,9.95,04/10/2018 00:00:00,
1160023,71832,DomainRegister,114987,Domain Registration,14.95,04/10/2018 00:00:00,
1160025,77074,DomainRegister,114989,Domain Registration,14.95,04/10/2018 00:00:00,
1160025,77074,DomainRegister,114988,Domain Registration,14.95,04/10/2018 00:00:00,
1160026,91083,Hosting,575065,Wordpress Hosting,79.95,04/10/2018 00:00:00,
1160026,91083,DomainRegister,114990,Domain Registration,14.95,04/10/2018 00:00:00,
1160027,91073,DomainTransfer,114991,Domain Transfer,9.95,04/10/2018 00:00:00,
1160028,76595,DomainRegister,114993,Domain Registration,14.95,04/10/2018 00:00:00,
1160028,76595,DomainRegister,114992,Domain Registration,14.95,04/10/2018 00:00:00,
1160029,91084,Hosting,575066,Cloud Lite Plus,49.95,04/10/2018 00:00:00,
1160029,91084,DomainRegister,114998,Domain Registration,14.94,04/10/2018 00:00:00,
1160029,91084,PromoDomain,114998,Promotional Code: 10OFFDOMAINS,-1.49,04/10/2018 00:00:00,
1160029,91084,DomainRegister,114994,Domain Registration,9.94,04/10/2018 00:00:00,
1160029,91084,PromoDomain,114994,Promotional Code: 10OFFDOMAINS,-0.99,04/10/2018 00:00:00,
1160031,91085,DomainRegister,114999,Domain Registration,14.95,04/10/2018 00:00:00,
1160032,91086,DomainRegister,115001,Domain Registration,7.95,04/10/2018 00:00:00,
1160032,91086,DomainRegister,115000,Domain Registration,14.95,04/10/2018 00:00:00,
1160033,91087,Hosting,575068,Cloud Lite Plus,6.99,04/10/2018 00:00:00,
1160033,91087,DomainRegister,115002,Domain Registration,14.95,04/10/2018 00:00:00,
1160033,91087,DomainRegister,115003,Domain Registration,14.95,04/10/2018 00:00:00,
1160035,68963,DomainRegister,115005,Domain Registration,9.95,04/10/2018 00:00:00,
1160038,62367,DomainRegister,115007,Domain Registration,14.95,04/10/2018 00:00:00,
1160041,91088,Hosting,575069,Cloud Lite Plus,6.99,04/10/2018 00:00:00,
1160044,91090,DomainRegister,115010,Domain Registration,14.95,04/10/2018 00:00:00,
1160047,85357,DomainRegister,115012,Domain Registration,9.95,04/10/2018 00:00:00,
1160048,90104,DomainRegister,115013,Domain Registration,9.95,04/10/2018 00:00:00,
1160049,91092,Hosting,575070,Cloud Business Plus,11.99,04/10/2018 00:00:00,
1160049,91092,DomainRegister,115014,Domain Registration,14.95,04/10/2018 00:00:00,
1160050,86668,Hosting,575071,Cloud Lite Plus,49.95,04/10/2018 00:00:00,
1160051,80397,DomainRegister,115015,Domain Registration,14.95,04/10/2018 00:00:00,
1160052,91093,DomainRegister,115016,Domain Registration,14.95,04/10/2018 00:00:00,
1160053,90935,Hosting,575072,Wordpress Hosting,79.95,04/10/2018 00:00:00,
1160055,91095,DomainRegister,115019,Domain Registration,1.49,05/10/2018 00:00:00,
1160055,91095,DomainRegister,115018,Domain Registration,14.95,05/10/2018 00:00:00,
1160056,71070,Domain,70486,Domain Renewal,12.95,05/10/2018 00:00:00,
1160057,91096,DomainRegister,115020,Domain Registration,14.95,05/10/2018 00:00:00,
1160058,89929,DomainRegister,115022,Domain Registration,7.95,05/10/2018 00:00:00,
1160058,89929,DomainRegister,115023,Domain Registration,4.95,05/10/2018 00:00:00,
1160058,89929,DomainRegister,115021,Domain Registration,14.95,05/10/2018 00:00:00,
1160059,91097,Domain,76971,Domain Renewal,24.95,08/10/2018 00:00:00,
1160060,91098,Hosting,575073,Positive SSL Certificate (05/10/2018,29.95,05/10/2018 00:00:00,
1160061,66868,Domain,86557,Domain Renewal,24.95,05/10/2018 00:00:00,
1160061,66868,Domain,64726,Domain Renewal,24.95,05/10/2018 00:00:00,
1160079,87905,Hosting,572659,Level 1 Dedicated Server (04/11/2018,3.07,04/11/2018 00:00:00,
1160083,88568,Hosting,573164,Website Builder,7.95,04/11/2018 00:00:00,
1160086,79559,Hosting,569552,Website Builder,9.95,04/11/2018 00:00:00,
1160091,68472,Hosting,558202,Cloud Business Plus,7.99,04/11/2018 00:00:00,
1160077,82406,Hosting,568581,Cloud Business Plus,9.95,04/11/2018 00:00:00,
1160093,59702,Hosting,554668,Cloud VPS Option 3 PCS,13.84,04/11/2018 00:00:00,
1160064,66373,Hosting,556546,Level 1 Dedicated Server,21.99,02/11/2018 00:00:00,
1160097,68722,Hosting,564258,Cloud Business Plus,7.99,04/11/2018 00:00:00,
1160098,63439,Hosting,552898,Cloud Lite Plus,4.59,04/11/2018 00:00:00,
1160102,75163,Hosting,572847,Website Builder,2.95,04/11/2018 00:00:00,
1160103,83708,Hosting,569560,Cloud Lite Plus,6.54,04/11/2018 00:00:00,
1160105,78417,Hosting,565781,Cloud VPS Option 1 PCS,52.45,04/11/2018 00:00:00,
1160063,89242,Hosting,573682,Wordpress Hosting,7.94,30/10/2018 00:00:00,
1160108,89600,Hosting,573973,Cloud Lite Plus,4.59,04/11/2018 00:00:00,
1160109,79968,Hosting,569344,Wordpress Hosting,5.99,04/11/2018 00:00:00,
1160114,78058,Hosting,565525,Cloud Lite Plus,4.59,04/11/2018 00:00:00,
1160118,83066,Hosting,569100,Cloud Lite Plus,4.59,04/11/2018 00:00:00,
1160120,72326,Hosting,561382,Cloud Business Plus,7.99,04/11/2018 00:00:00,
1160121,70206,Hosting,559789,Cloud Ultima,26.95,04/11/2018 00:00:00,
1160124,62225,Hosting,30770,Cloud Business Plus,7.99,04/11/2018 00:00:00,
1160128,84629,Hosting,570211,Cloud Lite Plus,6.54,04/11/2018 00:00:00,
1160129,79157,Hosting,566290,Cloud Lite Plus,4.59,04/11/2018 00:00:00,
1160130,90745,Hosting,574827,Website Builder,2.95,04/11/2018 00:00:00,
1160132,85084,Hosting,570572,Cloud Lite Plus,4.59,04/11/2018 00:00:00,
1160065,72370,Hosting,570807,Cloud Lite Plus,4.59,02/11/2018 00:00:00,
1160138,86884,Hosting,571855,Website Builder,1.69,04/11/2018 00:00:00,
1160139,81023,Hosting,568813,Cloud Lite Plus,4.59,04/11/2018 00:00:00,
1160144,90750,Hosting,574834,Wordpress Hosting,0.99,04/11/2018 00:00:00,
1160146,83656,Hosting,569558,Cloud Lite Plus,4.59,04/11/2018 00:00:00,
1160148,68920,Hosting,570563,Cloud Lite Plus,4.59,04/11/2018 00:00:00,
1160102,75163,Hosting,572853,Website Builder,2.95,04/11/2018 00:00:00,
1160200,91099,DomainRegister,115024,Domain Registration,14.95,05/10/2018 00:00:00,
1160205,82478,Domain,94223,Domain Renewal,24.95,05/10/2018 00:00:00,
1160206,57847,Hosting_renewedearly,575074,Positive SSL Certificate (05/10/2018,29.95,05/10/2018 00:00:00,
1160212,91095,DomainRegister,115026,Domain Registration,14.95,05/10/2018 00:00:00,
1160213,91100,Setup,575075,,9.95,05/10/2018 00:00:00,
1160213,91100,Hosting,575075,Cloud Business Plus,1.19,05/10/2018 00:00:00,
1160214,66868,DomainRegister,115027,Domain Registration,14.95,05/10/2018 00:00:00,
1160218,57847,Hosting_renewedearly,575077,Wildcard Comodo SSL Certificate (05/10/2018,3.9,05/10/2018 00:00:00,
1160220,91101,Hosting,575079,Cloud Lite Plus,6.99,05/10/2018 00:00:00,
1160222,90274,DomainRegister,115029,Domain Registration,14.95,05/10/2018 00:00:00,
1160223,91102,DomainRegister,115030,Domain Registration,14.95,05/10/2018 00:00:00,
1160224,91103,DomainRegister,115031,Domain Registration,14.95,05/10/2018 00:00:00,
1160225,72116,DomainRegister,115032,Domain Registration,1.95,05/10/2018 00:00:00,
1160229,91105,DomainRegister,115035,Domain Registration,14.95,05/10/2018 00:00:00,
1160230,65776,DomainRegister,115036,Domain Registration,9.95,05/10/2018 00:00:00,
1160231,82336,DomainRegister,115038,Domain Registration,4.95,05/10/2018 00:00:00,
1160231,82336,DomainRegister,115037,Domain Registration,14.95,05/10/2018 00:00:00,
1160232,90952,Hosting,575082,Website Builder,29.95,05/10/2018 00:00:00,
1160233,91106,DomainRegister,115040,Domain Registration,14.95,05/10/2018 00:00:00,
1160233,91106,DomainRegister,115039,Domain Registration,14.95,05/10/2018 00:00:00,
1160233,91106,DomainRegister,115042,Domain Registration,14.95,05/10/2018 00:00:00,
1160233,91106,DomainRegister,115041,Domain Registration,14.95,05/10/2018 00:00:00,
1160234,91107,DomainRegister,115043,Domain Registration,14.95,05/10/2018 00:00:00,
1160235,87278,Domain,105066,Domain Renewal,12.95,06/10/2018 00:00:00,
1160236,66625,DomainRegister,115045,Domain Registration,14.95,06/10/2018 00:00:00,
1160236,66625,DomainRegister,115046,Domain Registration,14.95,06/10/2018 00:00:00,
1160236,66625,DomainRegister,115044,Domain Registration,14.95,06/10/2018 00:00:00,
1160237,90943,Hosting,575083,Wordpress Hosting,79.95,06/10/2018 00:00:00,
1160239,63117,DomainRegister,115049,Domain Registration,1.49,06/10/2018 00:00:00,
1160239,63117,DomainRegister,115048,Domain Registration,14.95,06/10/2018 00:00:00,
1160239,63117,DomainRegister,115047,Domain Registration,14.95,06/10/2018 00:00:00,
1160247,67356,Hosting,557386,Cloud Lite Plus,4.59,01/11/2018 00:00:00,
1160270,78761,Hosting,566042,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160271,83640,Hosting,571865,Cloud Business Plus,7.99,05/11/2018 00:00:00,
1160276,81053,Hosting,573173,Cloud Lite Plus,6.54,05/11/2018 00:00:00,
1160282,74707,Hosting,564270,Cloud Business Plus,7.99,05/11/2018 00:00:00,
1160285,72628,Hosting,561622,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160286,74555,Hosting,563663,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160287,66957,Hosting,565533,Cloud VPS Option 3 PCS,135.95,05/11/2018 00:00:00,
1160290,87069,Hosting,572174,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160292,62747,Hosting,26191,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160294,83442,Hosting,569348,Cloud Business Plus,9.94,05/11/2018 00:00:00,
1160296,80810,Hosting,568826,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160297,69572,Hosting,564782,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160300,63949,Hosting,553553,Level 1 Dedicated Server,3.6,05/11/2018 00:00:00,
1160250,88537,Hosting,573160,Cloud Lite Plus,6.54,02/11/2018 00:00:00,
1160307,87252,Hosting,572173,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160265,91100,Hosting,575075,Cloud Business Plus,9.95,05/11/2018 00:00:00,
1160266,85482,Hosting,570846,Enterprise,39.95,05/11/2018 00:00:00,
1160315,68920,Hosting,558586,Cloud Business Plus,7.99,05/11/2018 00:00:00,
1160316,76179,Hosting,564260,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160267,71509,Hosting,570588,Enterprise,39.95,05/11/2018 00:00:00,
1160300,63949,Hosting,568591,Hype,0,05/11/2018 00:00:00,
1160318,64955,Hosting,567668,Cloud Business Plus,7.99,05/11/2018 00:00:00,
1160319,80831,Hosting,567467,Cloud Business Plus,7.99,05/11/2018 00:00:00,
1160320,86543,Hosting,571579,Enterprise,49.95,05/11/2018 00:00:00,
1160321,89309,Hosting,573725,Cloud Lite Plus,6.54,05/11/2018 00:00:00,
1160324,71816,Hosting,565058,Cloud VPS Option 2 PCS,78.95,05/11/2018 00:00:00,
1160326,89579,Hosting,574405,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160328,60336,Hosting,555378,Cloud Ultima,14.95,05/11/2018 00:00:00,
1160329,60635,Hosting,44845,Reseller Lite,0.5,05/11/2018 00:00:00,
1160268,80483,Hosting,567230,Cloud Ultima,16.95,05/11/2018 00:00:00,
1160332,66216,Hosting,555994,Cloud Lite Plus,4.59,05/11/2018 00:00:00,
1160334,87921,Hosting,572668,Website Builder,7.95,05/11/2018 00:00:00,
1160240,83301,Hosting,569240,Website Builder,9.95,22/10/2018 00:00:00,
1160344,60649,Domain,44770,Domain Renewal,24.95,05/11/2018 00:00:00,
1160404,91108,Hosting,575084,Wordpress Hosting,9.99,06/10/2018 00:00:00,
